volume,slice,band_pos,rel_pos,ratio,method,psnr,ssim
3151.npy,68,39,1.0,0.3,ddnm,30.72013336409933,0.9414179961176304
3151.npy,68,39,1.0,0.5,zerofill,26.247708696038202,0.7805279024215392
3151.npy,68,39,1.0,0.5,cs,32.172405284932374,0.9730355218633533
3151.npy,68,39,1.0,0.5,ddnm,32.74021656573262,0.9710052340694154
3161.npy,29,0,0.0,0.2,zerofill,11.253060898244511,0.3649802105618167
3161.npy,29,0,0.0,0.2,cs,11.593287788296964,0.5021939541094164
3161.npy,29,0,0.0,0.2,ddnm,18.403908279059237,0.5400062821592748
3161.npy,29,0,0.0,0.3,zerofill,23.33756277263273,0.6213886526434881
3161.npy,29,0,0.0,0.3,cs,30.05971743031674,0.9219139456975223
3161.npy,29,0,0.0,0.3,ddnm,29.634914065982866,0.9243946254705908
3161.npy,29,0,0.0,0.5,zerofill,25.997173288555516,0.716511754546881
3161.npy,29,0,0.0,0.5,cs,33.46292847782905,0.9662244515781344
3161.npy,29,0,0.0,0.5,ddnm,31.63279509739024,0.9548896941001201
3161.npy,35,6,0.154,0.2,zerofill,11.982269779849656,0.37611331636066764
3161.npy,35,6,0.154,0.2,cs,13.31396434218943,0.587909110348555
3161.npy,35,6,0.154,0.2,ddnm,11.590054286627034,0.5471871866659199
3161.npy,35,6,0.154,0.3,zerofill,17.411644368999692,0.4698076796806888
3161.npy,35,6,0.154,0.3,cs,25.551444918999962,0.8352870517494184
3161.npy,35,6,0.154,0.3,ddnm,28.45479597204943,0.9163058184705989
3161.npy,35,6,0.154,0.5,zerofill,23.472489917907495,0.6760309287462188
3161.npy,35,6,0.154,0.5,cs,31.10005411420623,0.9616137845474236
3161.npy,35,6,0.154,0.5,ddnm,29.7785091903692,0.9517801290728879
3161.npy,40,11,0.282,0.2,zerofill,12.952280543143683,0.38544213231801466
3161.npy,40,11,0.282,0.2,cs,13.367360198891427,0.5594643924481092
3161.npy,40,11,0.282,0.2,ddnm,24.715626482706877,0.7650011588744989
3161.npy,40,11,0.282,0.3,zerofill,18.340138893652703,0.5327134041669295
3161.npy,40,11,0.282,0.3,cs,25.209579012591455,0.862008592525827
3161.npy,40,11,0.282,0.3,ddnm,27.85549219438324,0.9128380124606102
3161.npy,40,11,0.282,0.5,zerofill,25.374303512393617,0.8134136443156107
3161.npy,40,11,0.282,0.5,cs,31.03293490678302,0.9708648131350873
3161.npy,40,11,0.282,0.5,ddnm,30.22693433922811,0.9624695032234315
3161.npy,46,17,0.436,0.2,zerofill,13.095339262431677,0.4346607884515431
3161.npy,46,17,0.436,0.2,cs,13.401147256215216,0.6080176289427944
3161.npy,46,17,0.436,0.2,ddnm,27.50601095140574,0.8453095237729739
3161.npy,46,17,0.436,0.3,zerofill,18.08079030778508,0.5286412093589422
3161.npy,46,17,0.436,0.3,cs,26.384516482043132,0.8830747490408871
3161.npy,46,17,0.436,0.3,ddnm,28.507453981445067,0.8977827793300088
3161.npy,46,17,0.436,0.5,zerofill,23.645871374438766,0.723966801610333
3161.npy,46,17,0.436,0.5,cs,31.346591196608387,0.9551738522780643
3161.npy,46,17,0.436,0.5,ddnm,30.874890582412704,0.9539746139794227
3161.npy,51,22,0.564,0.2,zerofill,18.935717935525705,0.4906903495925116
3161.npy,51,22,0.564,0.2,cs,24.36450477406517,0.776796511746092
3161.npy,51,22,0.564,0.2,ddnm,26.60338154498639,0.8811961150147748
3161.npy,51,22,0.564,0.3,zerofill,13.391110301262323,0.43733444829909385
3161.npy,51,22,0.564,0.3,cs,14.099672292798328,0.6452802766343515
3161.npy,51,22,0.564,0.3,ddnm,28.199782813992403,0.8420457624327476
3161.npy,51,22,0.564,0.5,zerofill,24.132442091783027,0.7168878306924527
3161.npy,51,22,0.564,0.5,cs,30.910881676047563,0.9615147265975305
3161.npy,51,22,0.564,0.5,ddnm,31.01243056711541,0.9573516584702539
3161.npy,57,28,0.718,0.2,zerofill,17.073241900165435,0.4691181137511268
3161.npy,57,28,0.718,0.2,cs,22.772417295085496,0.74565544829598
3161.npy,57,28,0.718,0.2,ddnm,26.13833529689466,0.8763758729251281
3161.npy,57,28,0.718,0.3,zerofill,20.256534948247587,0.583364795384712
3161.npy,57,28,0.718,0.3,cs,27.104681896134206,0.8933092451403335
3161.npy,57,28,0.718,0.3,ddnm,29.340394400434953,0.9457782341311998
3161.npy,57,28,0.718,0.5,zerofill,25.136794233143334,0.7573684020453723
3161.npy,57,28,0.718,0.5,cs,30.551238545047816,0.9655912814662361
3161.npy,57,28,0.718,0.5,ddnm,31.563132891915473,0.9662846349474083
3161.npy,62,33,0.846,0.2,zerofill,16.586477757299075,0.43597208833109
3161.npy,62,33,0.846,0.2,cs,23.976035430298133,0.7692688987263746
3161.npy,62,33,0.846,0.2,ddnm,27.446152166837663,0.8705004950120817
3161.npy,62,33,0.846,0.3,zerofill,13.63090849620706,0.46429646540512104
3161.npy,62,33,0.846,0.3,cs,13.965549923476157,0.6592624660250532
3161.npy,62,33,0.846,0.3,ddnm,27.592587473466523,0.8532519413669386
3161.npy,62,33,0.846,0.5,zerofill,18.999740024111972,0.6446677839637611
3161.npy,62,33,0.846,0.5,cs,31.71952634291957,0.9447775602669076
3161.npy,62,33,0.846,0.5,ddnm,31.757095107239298,0.9550254081957317
3161.npy,68,39,1.0,0.2,zerofill,16.136664913070046,0.4366568076883134
3161.npy,68,39,1.0,0.2,cs,21.62446637053514,0.7535541543499717
3161.npy,68,39,1.0,0.2,ddnm,26.544668811617168,0.8634138470598204
3161.npy,68,39,1.0,0.3,zerofill,13.201400716875177,0.45460394340235644
3161.npy,68,39,1.0,0.3,cs,13.582916718379261,0.6204227671729774
3161.npy,68,39,1.0,0.3,ddnm,27.16136500974748,0.808894922016241
3161.npy,68,39,1.0,0.5,zerofill,13.663466490286096,0.570399040169361
3161.npy,68,39,1.0,0.5,cs,14.002369075121258,0.6955231590576709
3161.npy,68,39,1.0,0.5,ddnm,33.31155962691979,0.9392219993078846
3171.npy,29,0,0.0,0.2,zerofill,20.582429025532978,0.5768171108628902
3171.npy,29,0,0.0,0.2,cs,26.15565874324057,0.8498168490026536
3171.npy,29,0,0.0,0.2,ddnm,27.356529961179994,0.8874295025159628
3171.npy,29,0,0.0,0.3,zerofill,15.243213773884158,0.39715239099097643
3171.npy,29,0,0.0,0.3,cs,23.726889168883165,0.7413218953489413
